fighter_id,sig_strikes_succ,takedowns_att,takedowns_succ,submiss_att,reversals,ctrl,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att
2954.0,94.0,12.0,7.0,0.0,0.0,976,1.0,348.0,143.0,292.0
2955.0,257.0,62.0,22.0,7.0,1.0,3164,2.0,1020.0,583.0,649.0
2959.0,44.0,2.0,1.0,1.0,0.0,103,1.0,205.0,59.0,190.0
2961.0,1160.0,35.0,13.0,5.0,2.0,1028,7.0,2671.0,1275.0,2542.0
2965.0,47.0,13.0,3.0,0.0,0.0,127,0.0,127.0,80.0,92.0
2968.0,36.0,3.0,1.0,0.0,0.0,63,0.0,69.0,41.0,64.0
2969.0,454.0,81.0,26.0,13.0,1.0,2687,1.0,1742.0,1013.0,1135.0
2973.0,27.0,8.0,1.0,1.0,0.0,38,0.0,65.0,28.0,64.0
2974.0,153.0,12.0,4.0,3.0,3.0,612,0.0,417.0,242.0,313.0
2975.0,93.0,2.0,0.0,0.0,0.0,110,0.0,306.0,127.0,268.0
2976.0,515.0,5.0,2.0,0.0,0.0,463,2.0,1043.0,555.0,997.0
2978.0,583.0,95.0,54.0,14.0,1.0,7060,2.0,2638.0,1954.0,1153.0
2980.0,70.0,13.0,6.0,3.0,1.0,264,0.0,231.0,82.0,217.0
2981.0,637.0,30.0,9.0,10.0,2.0,1517,3.0,1944.0,1066.0,1464.0
2983.0,467.0,15.0,7.0,0.0,0.0,565,1.0,1238.0,517.0,1181.0
2984.0,85.0,11.0,5.0,0.0,0.0,321,0.0,211.0,110.0,183.0
2985.0,214.0,38.0,24.0,6.0,1.0,1529,2.0,756.0,429.0,499.0
2990.0,236.0,6.0,2.0,3.0,0.0,894,3.0,769.0,455.0,535.0
2991.0,819.0,68.0,32.0,4.0,6.0,2128,5.0,2425.0,996.0,2219.0
2992.0,30.0,4.0,1.0,3.0,1.0,105,0.0,149.0,77.0,91.0
2994.0,193.0,1.0,1.0,3.0,5.0,833,2.0,591.0,282.0,489.0
2996.0,73.0,8.0,6.0,1.0,1.0,682,0.0,158.0,110.0,118.0
2997.0,379.0,34.0,14.0,20.0,0.0,1569,11.0,800.0,475.0,696.0
2998.0,28.0,5.0,1.0,0.0,0.0,95,0.0,126.0,55.0,96.0
3000.0,3.0,0.0,0.0,0.0,0.0,0,0.0,7.0,5.0,4.0
3001.0,155.0,16.0,6.0,8.0,1.0,706,1.0,552.0,310.0,373.0
3002.0,202.0,1.0,1.0,0.0,0.0,125,2.0,511.0,223.0,486.0
3004.0,99.0,7.0,4.0,2.0,0.0,0,0.0,316.0,260.0,150.0
3005.0,25.0,2.0,0.0,0.0,0.0,1,1.0,51.0,26.0,50.0
3007.0,589.0,27.0,6.0,6.0,5.0,1011,3.0,1719.0,730.0,1551.0
3008.0,297.0,52.0,28.0,5.0,0.0,2974,2.0,988.0,553.0,693.0
3009.0,6.0,3.0,0.0,0.0,0.0,0,0.0,13.0,9.0,10.0
3013.0,49.0,1.0,0.0,0.0,0.0,14,0.0,158.0,101.0,103.0
3016.0,54.0,9.0,1.0,0.0,1.0,530,0.0,159.0,83.0,123.0
3017.0,1260.0,20.0,7.0,16.0,2.0,477,3.0,2967.0,1423.0,2782.0
3019.0,32.0,9.0,6.0,1.0,0.0,411,0.0,106.0,50.0,87.0
3022.0,366.0,1.0,0.0,0.0,0.0,213,0.0,814.0,376.0,804.0
3023.0,763.0,14.0,4.0,3.0,0.0,1534,3.0,1895.0,937.0,1710.0
3025.0,120.0,3.0,0.0,0.0,0.0,106,0.0,345.0,209.0,249.0
3029.0,51.0,3.0,2.0,1.0,0.0,347,0.0,129.0,79.0,91.0
